,coeff_Ch5,coeff_Ch6,coeff_gACH,coeff_gDA
spxnr_-11,0.04805522093463015,0.014193916314468716,-0.08470804065996684,-0.2227814976542255
spxnr_-10,0.09495100976385147,-0.0037131179556650976,-0.055784185130575814,-0.224335574265477
spxnr_-09,0.18552569113885642,-0.00017188404255227656,0.008976272986607163,-0.22740619939896226
spxnr_-08,0.22663195571332367,-0.013574867273713766,0.10351317669659252,-0.20840857004083083
spxnr_-07,0.3125921320428556,-0.020742014273151033,0.20044626956897532,-0.18853074006395126
spxnr_-06,0.38159456413160703,-0.06730929590371806,0.2235381210176089,-0.18881126054519967
spxnr_-05,0.43370213191024237,-0.09120556259570525,0.21964071207489763,-0.2119135369486451
spxnr_-04,0.4571842364311212,-0.1585379245195162,0.13346068217968465,-0.17464166603219594
spxnr_-03,0.41204205642033437,-0.18257922808638263,0.056555758615962445,-0.10879570563733082
spxnr_-02,0.2874456062083534,-0.15778270891016494,-0.08824857486222151,-0.026832057012065355
spxnr_-01,0.03916486211647213,-0.14588346682340958,-0.28559444342126317,0.016357518620676303
spxnr_000,-0.3149822155534531,-0.19005058706449152,-0.5487598485735307,-0.09289773562678291
spxnr_001,-0.45809600520251115,-0.19431874028455332,-0.6144971376811504,-0.10403245005671825
spxnr_002,-0.24418455709669876,-0.1615696533416534,-0.4656081669585575,0.00028395749936651477
spxnr_003,0.14170042286186718,-0.09405871238043641,-0.07580138303876871,0.16714871983225843
spxnr_004,0.43696170060486467,-0.008389474095551797,0.26594282794047164,0.3148379187467761
spxnr_005,0.42937647544381236,0.06696952082270961,0.2936359361786411,0.37683079042603523
spxnr_006,0.3171720771006102,0.0920179708667859,0.17848267181059496,0.34785899467070613
spxnr_007,0.10960533775204821,0.11666043078174015,-0.04010886715451764,0.3095773665705453
spxnr_008,-0.03952221085884298,0.125609576790027,-0.1897438713805588,0.2487929546707446
spxnr_009,-0.14375753791727702,0.15553181639807773,-0.2772935514221609,0.20868389347184177
spxnr_010,-0.16364958228455526,0.18158438099668028,-0.27727619490367755,0.2060035603828152
spxnr_011,-0.18960086797935524,0.1910032630615823,-0.26406719482913554,0.23407530629244958
spxnr_012,-0.20590370537888047,0.20158338979259044,-0.23787796601983816,0.2542452813777298
spxnr_013,-0.1984422926197279,0.21944541790063554,-0.2127144192989942,0.2517539071353148
spxnr_014,-0.22157602562722806,0.18595455483314235,-0.1898815530571352,0.24391660250372504
spxnr_015,-0.2299932671718601,0.1897399019901193,-0.18460159541953908,0.17374096798287808
spxnr_016,-0.222157757554411,0.14713675590985617,-0.1784121265512734,0.10549418490235148
spxnr_017,-0.1977580203971708,0.13287370375297683,-0.17276964002170273,0.0358059749145024
spxnr_018,-0.17241416641413984,0.12120195062772864,-0.18123244965099813,0.0067181272670117816
spxnr_019,-0.1575095613749172,0.1164228448493119,-0.19370669761325493,0.014196004946255947
spxnr_020,-0.12662313290803,0.09833367134882798,-0.1750096253493617,0.027053957118663582
photometrySideInIndexAA_-20,-0.028814108623881368,-0.040542680455986926,-0.07652877345946277,-0.06734523596849457
photometrySideInIndexAA_-19,-0.05042946309986354,-0.03336160615144711,-0.05434787291445181,-0.08685475417875853
photometrySideInIndexAA_-18,-0.048785272694938875,-0.016461538480290364,-0.019552157595110094,-0.08997316135005289
photometrySideInIndexAA_-17,-0.06413612149469226,-0.03181383871504537,0.02715256632571826,-0.044628674860458656
photometrySideInIndexAA_-16,-0.08718832765410968,-0.016613889875223133,0.09084283768589169,0.022060162098610163
photometrySideInIndexAA_-15,-0.07003168793602346,0.015326998625128298,0.17263931127583054,0.14235866475766207
photometrySideInIndexAA_-14,-0.06912443152900241,0.13268547851139023,0.2778507828441448,0.3675126474976925
photometrySideInIndexAA_-13,-0.13297370290071941,0.2920020268444555,0.34591946893752135,0.6940797249998574
photometrySideInIndexAA_-12,-0.2669160939804552,0.48832404968130094,0.411195622686681,0.9801385488418898
photometrySideInIndexAA_-11,-0.4996070721711289,0.6080294047538387,0.40108985999915236,1.1240383846521003
photometrySideInIndexAA_-10,-0.7799678306992925,0.7298273010743916,0.22201772027777772,1.0586578461262957
